id,listing_url,host_name,booked_out_30,price_clean,proj_rev_30
649267768662583464,https://www.airbnb.com/rooms/649267768662583464,"The Guild",30,999,29970
23526398,https://www.airbnb.com/rooms/23526398,Amelia,30,995,29850
5245916,https://www.airbnb.com/rooms/5245916,Amanda,30,900,27000
39409674,https://www.airbnb.com/rooms/39409674,"South Congress Hotel",30,875,26250
2410434,https://www.airbnb.com/rooms/2410434,Rouzheen,30,850,25500
44419771,https://www.airbnb.com/rooms/44419771,Victoria,30,825,24750
669469,https://www.airbnb.com/rooms/669469,"Raquel + Jacob",30,821,24630
358643,https://www.airbnb.com/rooms/358643,Kathy,30,800,24000
23189786,https://www.airbnb.com/rooms/23189786,Chuck,30,750,22500
38647655,https://www.airbnb.com/rooms/38647655,Nicole,30,717,21510
